model,horizon,MAE,RMSE,MASE,coverage_80,n_evals,delta_mae_vs_c0,delta_pct_vs_c0
chronos2_C0,1,0.5202,0.8026,0.3702,0.8936,47,,
chronos2_C1,1,0.5235,0.7051,0.3725,0.8298,47,0.0032999999999999696,0.6343713956170646
timesfm_C0,1,0.4364,0.614,0.3106,,47,,
timesfm_C1,1,0.6435,0.8841,0.458,,47,0.20709999999999995,47.456461961503194
chronos2_C0,3,0.8179,1.0984,0.5821,0.8,45,,
chronos2_C1,3,0.8137,1.051,0.5791,0.7481,45,-0.0041999999999999815,-0.5135102090720114
timesfm_C0,3,0.732,0.9581,0.5209,,45,,
timesfm_C1,3,1.0188,1.3637,0.7251,,45,0.28679999999999994,39.18032786885245
chronos2_C0,6,1.206,1.6001,0.8583,0.7302,42,,
chronos2_C1,6,1.2341,1.6478,0.8783,0.6667,42,0.028100000000000014,2.3300165837479283
timesfm_C0,6,1.0866,1.4263,0.7733,,42,,
timesfm_C1,6,1.5499,2.0542,1.1031,,42,0.46330000000000005,42.63758512792196
chronos2_C0,12,1.9898,2.7487,1.4161,0.6759,36,,
chronos2_C1,12,2.1582,2.9917,1.536,0.5926,36,0.16839999999999988,8.463162126846914
timesfm_C0,12,1.8635,2.5903,1.3262,,36,,
timesfm_C1,12,3.1377,4.3062,2.233,,36,1.2742000000000002,68.37671049101155
