Pais,Tier,Senales,Modelo,MAE_h1,d%_h1,MAE_h3,d%_h3,MAE_h6,d%_h6,MAE_h12,d%_h12
Global,C0,—,Naive (lag-12),3.0243,1512.1,3.1199,778.4,3.2577,378.7,3.4604,127.3
Global,C0,—,"ARIMA(3,1,0)",0.1907,1.7,0.3565,0.4,0.6821,0.2,1.5444,1.4
Global,C0,—,"ARIMA(1,1,1)",0.1904,1.5,0.372,4.7,0.7032,3.3,1.5714,3.2
Global,C0,—,ARIMAX C0,0.1876,0.0,0.3552,0.0,0.6805,0.0,1.5227,0.0
Global,C0,—,LSTM,0.2126,13.3,0.6952,95.7,1.3212,94.2,2.1696,42.5
Global,C0,—,N-BEATS,0.2697,43.8,0.4754,33.8,1.006,47.8,2.1059,38.3
Global,C0,—,N-HiTS,0.2871,53.0,0.4506,26.9,1.0243,50.5,2.115,38.9
Global,C0,—,Chronos-2,0.5202,177.3,0.8179,130.3,1.206,77.2,1.9898,30.7
Global,C0,—,TimesFM,0.4364,132.6,0.732,106.1,1.0866,59.7,1.8635,22.4
Global,C0,—,TimeGPT,0.549,192.6,0.8248,132.2,1.2225,79.6,2.0096,32.0
Global,C1,institutional,ARIMAX C1_inst,0.2578,37.4,0.4587,29.1,0.798,17.3,1.6363,7.5
Global,C1,institutional,Chronos-2,0.2004,6.8,0.3417,-3.8,0.5914,-13.1,1.1433,-24.9
Global,C1,institutional,TimesFM,0.2694,43.6,0.4353,22.6,0.7121,4.6,1.2843,-15.7
Global,C1,institutional,TimeGPT,0.4148,121.1,0.7146,101.2,1.18,73.4,2.1138,38.8
España,C0,—,Naive (lag-12),3.6259,910.6,3.6558,445.4,3.6644,279.3,6.5881,327.5
España,C0,—,ARIMA,0.4781,33.2,0.6716,0.2,0.966,0.0,1.541,0.0
España,C0,—,SARIMA,0.4418,23.1,0.7236,8.0,1.0083,4.4,1.5952,3.5
España,C0,—,SARIMAX C0,0.4472,24.6,0.7321,9.2,1.024,6.0,1.607,4.3
España,C0,—,LSTM,0.3767,5.0,1.0922,62.9,1.5618,61.7,2.3176,50.4
España,C0,—,N-BEATS,0.3588,0.0,0.6703,0.0,1.0993,13.8,1.8947,23.0
España,C0,—,N-HiTS,0.4369,21.8,0.7935,18.4,1.2116,25.4,1.7832,15.7
España,C0,—,Chronos-2,0.5202,45.0,0.8179,22.0,1.206,24.8,1.9898,29.1
España,C0,—,TimesFM,0.4364,21.6,0.732,9.2,1.0866,12.5,1.8635,20.9
España,C0,—,TimeGPT,0.549,53.0,0.8248,23.0,1.2225,26.6,2.0096,30.4
España,C1,energy,Chronos-2,0.6561,82.9,0.9276,38.4,1.272,31.7,2.0315,31.8
España,C1,energy,TimeGPT,0.7393,106.0,1.1833,76.5,1.7939,85.7,2.9966,94.5
España,C1,energy only,Chronos-2,0.6007,67.4,0.8659,29.2,1.2148,25.8,1.9233,24.8
España,C1,energy only,TimeGPT,1.0961,205.5,1.4287,113.1,1.9884,105.8,3.1023,101.3
España,C1,macro,Chronos-2,0.6349,77.0,0.9247,38.0,1.294,34.0,2.0415,32.5
España,C1,macro,TimesFM,0.6017,67.7,0.8376,25.0,1.1869,22.9,1.9875,29.0
España,C1,macro,TimeGPT,0.8099,125.7,1.18,76.0,1.845,91.0,3.0741,99.5
España,C1,institutional,Chronos-2,0.5488,53.0,0.8212,22.5,1.237,28.1,2.0694,34.3
España,C1,institutional,TimesFM,0.4229,17.9,0.7056,5.3,1.046,8.3,1.8157,17.8
España,C1,institutional,TimeGPT,0.9052,152.3,1.1679,74.2,1.6497,70.8,2.6028,68.9
España,C1,energy+macro,Chronos-2,0.5687,58.5,0.8605,28.4,1.3498,39.7,2.388,55.0
España,C1,energy+macro,TimesFM,0.6811,89.8,1.0144,51.3,1.4468,49.8,2.5001,62.2
España,C1,energy+macro,TimeGPT,0.8405,134.3,1.1939,78.1,1.7722,83.5,2.6845,74.2
